,id,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,outcome,home_average_players,home_good_players,home_elite_players,away_average_players,away_good_players,away_elite_players,home_team_name,home_possession,home_goals_scored,home_goals_allowed,away_team_name,away_possession,away_goals_scored,away_goals_allowed
12,4246,2015-03-21,1724279,10194,9826,1,2,46518.0,40695.0,47418.0,119541.0,37194.0,109621.0,110148.0,39109.0,72735.0,24213.0,30830.0,22998.0,146830.0,23837.0,23030.0,183519.0,28901.0,22929.0,198510.0,35345.0,160194.0,35523.0,away_win,1,0,0,0,0,0,Stoke City,-0.254709374946,1.51515151515,1.24242424242,Crystal Palace,-1.35073274367,1.2,1.37142857143
13,4387,2014-10-25,1724070,8659,9826,2,2,24147.0,265918.0,169162.0,33086.0,38795.0,24171.0,25075.0,32734.0,33468.0,23257.0,239807.0,22998.0,154271.0,26777.0,23358.0,146830.0,198510.0,8985.0,22929.0,160194.0,25537.0,24157.0,tie,0,0,0,0,0,0,West Bromwich Albion,-1.46251322423,1.15789473684,1.36842105263,Crystal Palace,-1.35073274367,1.2,1.37142857143
14,4587,2016-02-27,1988978,8659,9826,3,2,24147.0,169162.0,32441.0,26527.0,23257.0,24148.0,113968.0,33468.0,239807.0,25075.0,51545.0,36283.0,154271.0,23837.0,23030.0,146830.0,22929.0,26160.0,198510.0,169721.0,149917.0,30960.0,home_win,0,0,0,1,0,0,West Bromwich Albion,-1.46251322423,1.15789473684,1.36842105263,Crystal Palace,-1.35073274367,1.2,1.37142857143
15,4208,2015-02-28,1724251,8654,9826,1,3,169756.0,214685.0,109897.0,35110.0,155782.0,37169.0,23678.0,148302.0,30892.0,192899.0,195927.0,22998.0,146830.0,23837.0,23030.0,154271.0,149917.0,8985.0,35345.0,198510.0,160194.0,35523.0,away_win,1,0,0,0,0,0,West Ham United,-0.545295537501,1.55263157895,1.15789473684,Crystal Palace,-1.35073274367,1.2,1.37142857143
16,4648,2016-04-02,1989029,8654,9826,2,2,169756.0,158545.0,35110.0,49543.0,155782.0,37169.0,148302.0,183670.0,210276.0,25496.0,192899.0,36283.0,146830.0,23030.0,23837.0,183519.0,22929.0,8985.0,198510.0,35345.0,46417.0,160194.0,tie,1,1,0,0,0,0,West Ham United,-0.545295537501,1.55263157895,1.15789473684,Crystal Palace,-1.35073274367,1.2,1.37142857143
17,4129,2015-01-01,1724172,10252,9826,0,0,69650.0,32870.0,30602.0,257847.0,93484.0,160713.0,56972.0,183500.0,23264.0,148315.0,184360.0,22998.0,23358.0,23837.0,23030.0,146830.0,28901.0,154271.0,22929.0,35345.0,198510.0,160194.0,tie,2,0,0,0,0,0,Aston Villa,-0.163084447451,0.837837837838,1.62162162162,Crystal Palace,-1.35073274367,1.2,1.37142857143
18,4290,2015-05-03,1724323,8455,9826,1,0,170323.0,31306.0,23783.0,30627.0,72541.0,155066.0,115067.0,94086.0,30613.0,107417.0,30822.0,22998.0,23358.0,23837.0,23030.0,146830.0,28901.0,22929.0,149917.0,198510.0,35345.0,160194.0,home_win,1,6,3,0,0,0,Chelsea,0.941349711695,1.83333333333,0.972222222222,Crystal Palace,-1.35073274367,1.2,1.37142857143
19,4711,2015-08-29,1988742,8455,9826,1,2,170323.0,31306.0,281207.0,23783.0,72541.0,30613.0,115067.0,150250.0,94086.0,107417.0,19243.0,119079.0,146830.0,23837.0,23030.0,183519.0,28901.0,26160.0,35345.0,46417.0,198510.0,169721.0,away_win,1,5,3,1,0,0,Chelsea,0.941349711695,1.83333333333,0.972222222222,Crystal Palace,-1.35073274367,1.2,1.37142857143
20,4341,2014-09-21,1724024,8668,9826,2,3,31465.0,263653.0,23268.0,24216.0,24846.0,101192.0,23782.0,242887.0,33639.0,24006.0,181276.0,22998.0,154271.0,23837.0,23030.0,146830.0,28901.0,8985.0,35345.0,22929.0,160194.0,24157.0,away_win,2,2,0,0,0,0,Everton,0.983010779608,1.64864864865,1.35135135135,Crystal Palace,-1.35073274367,1.2,1.37142857143
21,4451,2015-12-07,1988852,8668,9826,1,1,31465.0,77690.0,263653.0,213878.0,316688.0,160713.0,23782.0,251925.0,215384.0,30922.0,181276.0,36283.0,146830.0,23837.0,23030.0,183519.0,26160.0,8985.0,28901.0,35345.0,169721.0,160194.0,tie,2,1,0,1,0,0,Everton,0.983010779608,1.64864864865,1.35135135135,Crystal Palace,-1.35073274367,1.2,1.37142857143
